Gtype 1
Gr1_inner 53
Gr1_outer 75
Gr2_inner 53
Gr2_outer 75
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 1 14 0 -72 -20 -210 3.8 3.8 40 0 0 0
Tower 0 1 15 0 -72 -16 -210 3.8 3.8 40 0 0 0
Tower 0 1 16 0 -72 -12 -210 3.8 3.8 40 0 0 0
Tower 0 1 17 0 -72 -8 -210 3.8 3.8 40 0 0 0
Tower 0 1 18 0 -72 -4 -210 3.8 3.8 40 0 0 0
Tower 0 1 19 0 -72 0 -210 3.8 3.8 40 0 0 0
Tower 0 1 20 0 -72 4 -210 3.8 3.8 40 0 0 0
Tower 0 1 21 0 -72 8 -210 3.8 3.8 40 0 0 0
Tower 0 1 22 0 -72 12 -210 3.8 3.8 40 0 0 0
Tower 0 1 23 0 -72 16 -210 3.8 3.8 40 0 0 0
Tower 0 1 24 0 -72 20 -210 3.8 3.8 40 0 0 0
Tower 0 2 12 0 -68 -28 -210 3.8 3.8 40 0 0 0
Tower 0 2 13 0 -68 -24 -210 3.8 3.8 40 0 0 0
Tower 0 2 14 0 -68 -20 -210 3.8 3.8 40 0 0 0
Tower 0 2 15 0 -68 -16 -210 3.8 3.8 40 0 0 0
Tower 0 2 16 0 -68 -12 -210 3.8 3.8 40 0 0 0
Tower 0 2 17 0 -68 -8 -210 3.8 3.8 40 0 0 0
Tower 0 2 18 0 -68 -4 -210 3.8 3.8 40 0 0 0
Tower 0 2 19 0 -68 0 -210 3.8 3.8 40 0 0 0
Tower 0 2 20 0 -68 4 -210 3.8 3.8 40 0 0 0
Tower 0 2 21 0 -68 8 -210 3.8 3.8 40 0 0 0
Tower 0 2 22 0 -68 12 -210 3.8 3.8 40 0 0 0
Tower 0 2 23 0 -68 16 -210 3.8 3.8 40 0 0 0
Tower 0 2 24 0 -68 20 -210 3.8 3.8 40 0 0 0
Tower 0 2 25 0 -68 24 -210 3.8 3.8 40 0 0 0
Tower 0 2 26 0 -68 28 -210 3.8 3.8 40 0 0 0
Tower 0 3 10 0 -64 -36 -210 3.8 3.8 40 0 0 0
Tower 0 3 11 0 -64 -32 -210 3.8 3.8 40 0 0 0
Tower 0 3 12 0 -64 -28 -210 3.8 3.8 40 0 0 0
Tower 0 3 13 0 -64 -24 -210 3.8 3.8 40 0 0 0
Tower 0 3 14 0 -64 -20 -210 3.8 3.8 40 0 0 0
Tower 0 3 15 0 -64 -16 -210 3.8 3.8 40 0 0 0
Tower 0 3 16 0 -64 -12 -210 3.8 3.8 40 0 0 0
Tower 0 3 17 0 -64 -8 -210 3.8 3.8 40 0 0 0
Tower 0 3 18 0 -64 -4 -210 3.8 3.8 40 0 0 0
Tower 0 3 19 0 -64 0 -210 3.8 3.8 40 0 0 0
