Gtype 1
Gr1_inner 53
Gr1_outer 61
Gr2_inner 53
Gr2_outer 61
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 0 10 0 -58 -18 -210 3.8 3.8 40 0 0 0
Tower 0 0 11 0 -58 -14 -210 3.8 3.8 40 0 0 0
Tower 0 0 12 0 -58 -10 -210 3.8 3.8 40 0 0 0
Tower 0 0 13 0 -58 -6 -210 3.8 3.8 40 0 0 0
Tower 0 0 14 0 -58 -2 -210 3.8 3.8 40 0 0 0
Tower 0 0 15 0 -58 2 -210 3.8 3.8 40 0 0 0
Tower 0 0 16 0 -58 6 -210 3.8 3.8 40 0 0 0
Tower 0 0 17 0 -58 10 -210 3.8 3.8 40 0 0 0
Tower 0 0 18 0 -58 14 -210 3.8 3.8 40 0 0 0
Tower 0 0 19 0 -58 18 -210 3.8 3.8 40 0 0 0
Tower 0 1 8 0 -54 -26 -210 3.8 3.8 40 0 0 0
Tower 0 1 9 0 -54 -22 -210 3.8 3.8 40 0 0 0
Tower 0 1 10 0 -54 -18 -210 3.8 3.8 40 0 0 0
Tower 0 1 11 0 -54 -14 -210 3.8 3.8 40 0 0 0
Tower 0 1 12 0 -54 -10 -210 3.8 3.8 40 0 0 0
Tower 0 1 13 0 -54 -6 -210 3.8 3.8 40 0 0 0
Tower 0 1 14 0 -54 -2 -210 3.8 3.8 40 0 0 0
Tower 0 1 15 0 -54 2 -210 3.8 3.8 40 0 0 0
Tower 0 1 16 0 -54 6 -210 3.8 3.8 40 0 0 0
Tower 0 1 17 0 -54 10 -210 3.8 3.8 40 0 0 0
Tower 0 1 18 0 -54 14 -210 3.8 3.8 40 0 0 0
Tower 0 1 19 0 -54 18 -210 3.8 3.8 40 0 0 0
Tower 0 1 20 0 -54 22 -210 3.8 3.8 40 0 0 0
Tower 0 1 21 0 -54 26 -210 3.8 3.8 40 0 0 0
Tower 0 2 6 0 -50 -34 -210 3.8 3.8 40 0 0 0
Tower 0 2 7 0 -50 -30 -210 3.8 3.8 40 0 0 0
Tower 0 2 8 0 -50 -26 -210 3.8 3.8 40 0 0 0
Tower 0 2 9 0 -50 -22 -210 3.8 3.8 40 0 0 0
Tower 0 2 10 0 -50 -18 -210 3.8 3.8 40 0 0 0
Tower 0 2 19 0 -50 18 -210 3.8 3.8 40 0 0 0
Tower 0 2 20 0 -50 22 -210 3.8 3.8 40 0 0 0
Tower 0 2 21 0 -50 26 -210 3.8 3.8 40 0 0 0
Tower 0 2 22 0 -50 30 -210 3.8 3.8 40 0 0 0
Tower 0 2 23 0 -50 34 -210 3.8 3.8 40 0 0 0
Tower 0 3 5 0 -46 -38 -210 3.8 3.8 40 0 0 0
Tower 0 3 6 0 -46 -34 -210 3.8 3.8 40 0 0 0
Tower 0 3 7 0 -46 -30 -210 3.8 3.8 40 0 0 0
Tower 0 3 22 0 -46 30 -210 3.8 3.8 40 0 0 0
Tower 0 3 23 0 -46 34 -210 3.8 3.8 40 0 0 0
Tower 0 3 24 0 -46 38 -210 3.8 3.8 40 0 0 0
Tower 0 4 4 0 -42 -42 -210 3.8 3.8 40 0 0 0
Tower 0 4 5 0 -42 -38 -210 3.8 3.8 40 0 0 0
Tower 0 4 6 0 -42 -34 -210 3.8 3.8 40 0 0 0
Tower 0 4 23 0 -42 34 -210 3.8 3.8 40 0 0 0
Tower 0 4 24 0 -42 38 -210 3.8 3.8 40 0 0 0
Tower 0 4 25 0 -42 42 -210 3.8 3.8 40 0 0 0
Tower 0 5 3 0 -38 -46 -210 3.8 3.8 40 0 0 0
Tower 0 5 4 0 -38 -42 -210 3.8 3.8 40 0 0 0
Tower 0 5 5 0 -38 -38 -210 3.8 3.8 40 0 0 0
Tower 0 5 24 0 -38 38 -210 3.8 3.8 40 0 0 0
Tower 0 5 25 0 -38 42 -210 3.8 3.8 40 0 0 0
Tower 0 5 26 0 -38 46 -210 3.8 3.8 40 0 0 0
Tower 0 6 2 0 -34 -50 -210 3.8 3.8 40 0 0 0
Tower 0 6 3 0 -34 -46 -210 3.8 3.8 40 0 0 0
Tower 0 6 4 0 -34 -42 -210 3.8 3.8 40 0 0 0
Tower 0 6 25 0 -34 42 -210 3.8 3.8 40 0 0 0
Tower 0 6 26 0 -34 46 -210 3.8 3.8 40 0 0 0
Tower 0 6 27 0 -34 50 -210 3.8 3.8 40 0 0 0
Tower 0 7 2 0 -30 -50 -210 3.8 3.8 40 0 0 0
Tower 0 7 3 0 -30 -46 -210 3.8 3.8 40 0 0 0
Tower 0 7 26 0 -30 46 -210 3.8 3.8 40 0 0 0
Tower 0 7 27 0 -30 50 -210 3.8 3.8 40 0 0 0
Tower 0 8 1 0 -26 -54 -210 3.8 3.8 40 0 0 0
Tower 0 8 2 0 -26 -50 -210 3.8 3.8 40 0 0 0
Tower 0 8 27 0 -26 50 -210 3.8 3.8 40 0 0 0
Tower 0 8 28 0 -26 54 -210 3.8 3.8 40 0 0 0
Tower 0 9 1 0 -22 -54 -210 3.8 3.8 40 0 0 0
Tower 0 9 2 0 -22 -50 -210 3.8 3.8 40 0 0 0
Tower 0 9 27 0 -22 50 -210 3.8 3.8 40 0 0 0
Tower 0 9 28 0 -22 54 -210 3.8 3.8 40 0 0 0
Tower 0 10 0 0 -18 -58 -210 3.8 3.8 40 0 0 0
Tower 0 10 1 0 -18 -54 -210 3.8 3.8 40 0 0 0
Tower 0 10 2 0 -18 -50 -210 3.8 3.8 40 0 0 0
Tower 0 10 27 0 -18 50 -210 3.8 3.8 40 0 0 0
Tower 0 10 28 0 -18 54 -210 3.8 3.8 40 0 0 0
Tower 0 10 29 0 -18 58 -210 3.8 3.8 40 0 0 0
Tower 0 11 0 0 -14 -58 -210 3.8 3.8 40 0 0 0
Tower 0 11 1 0 -14 -54 -210 3.8 3.8 40 0 0 0
Tower 0 11 28 0 -14 54 -210 3.8 3.8 40 0 0 0
Tower 0 11 29 0 -14 58 -210 3.8 3.8 40 0 0 0
Tower 0 12 0 0 -10 -58 -210 3.8 3.8 40 0 0 0
Tower 0 12 1 0 -10 -54 -210 3.8 3.8 40 0 0 0
Tower 0 12 28 0 -10 54 -210 3.8 3.8 40 0 0 0
Tower 0 12 29 0 -10 58 -210 3.8 3.8 40 0 0 0
Tower 0 13 0 0 -6 -58 -210 3.8 3.8 40 0 0 0
Tower 0 13 1 0 -6 -54 -210 3.8 3.8 40 0 0 0
Tower 0 13 28 0 -6 54 -210 3.8 3.8 40 0 0 0
Tower 0 13 29 0 -6 58 -210 3.8 3.8 40 0 0 0
Tower 0 14 0 0 -2 -58 -210 3.8 3.8 40 0 0 0
Tower 0 14 1 0 -2 -54 -210 3.8 3.8 40 0 0 0
Tower 0 14 28 0 -2 54 -210 3.8 3.8 40 0 0 0
Tower 0 14 29 0 -2 58 -210 3.8 3.8 40 0 0 0
Tower 0 15 0 0 2 -58 -210 3.8 3.8 40 0 0 0
Tower 0 15 1 0 2 -54 -210 3.8 3.8 40 0 0 0
Tower 0 15 28 0 2 54 -210 3.8 3.8 40 0 0 0
Tower 0 15 29 0 2 58 -210 3.8 3.8 40 0 0 0
Tower 0 16 0 0 6 -58 -210 3.8 3.8 40 0 0 0
Tower 0 16 1 0 6 -54 -210 3.8 3.8 40 0 0 0
Tower 0 16 28 0 6 54 -210 3.8 3.8 40 0 0 0
Tower 0 16 29 0 6 58 -210 3.8 3.8 40 0 0 0
Tower 0 17 0 0 10 -58 -210 3.8 3.8 40 0 0 0
Tower 0 17 1 0 10 -54 -210 3.8 3.8 40 0 0 0
Tower 0 17 28 0 10 54 -210 3.8 3.8 40 0 0 0
Tower 0 17 29 0 10 58 -210 3.8 3.8 40 0 0 0
Tower 0 18 0 0 14 -58 -210 3.8 3.8 40 0 0 0
Tower 0 18 1 0 14 -54 -210 3.8 3.8 40 0 0 0
Tower 0 18 28 0 14 54 -210 3.8 3.8 40 0 0 0
Tower 0 18 29 0 14 58 -210 3.8 3.8 40 0 0 0
Tower 0 19 0 0 18 -58 -210 3.8 3.8 40 0 0 0
Tower 0 19 1 0 18 -54 -210 3.8 3.8 40 0 0 0
Tower 0 19 2 0 18 -50 -210 3.8 3.8 40 0 0 0
Tower 0 19 27 0 18 50 -210 3.8 3.8 40 0 0 0
Tower 0 19 28 0 18 54 -210 3.8 3.8 40 0 0 0
Tower 0 19 29 0 18 58 -210 3.8 3.8 40 0 0 0
Tower 0 20 1 0 22 -54 -210 3.8 3.8 40 0 0 0
Tower 0 20 2 0 22 -50 -210 3.8 3.8 40 0 0 0
Tower 0 20 27 0 22 50 -210 3.8 3.8 40 0 0 0
Tower 0 20 28 0 22 54 -210 3.8 3.8 40 0 0 0
Tower 0 21 1 0 26 -54 -210 3.8 3.8 40 0 0 0
Tower 0 21 2 0 26 -50 -210 3.8 3.8 40 0 0 0
Tower 0 21 27 0 26 50 -210 3.8 3.8 40 0 0 0
Tower 0 21 28 0 26 54 -210 3.8 3.8 40 0 0 0
Tower 0 22 2 0 30 -50 -210 3.8 3.8 40 0 0 0
Tower 0 22 3 0 30 -46 -210 3.8 3.8 40 0 0 0
Tower 0 22 26 0 30 46 -210 3.8 3.8 40 0 0 0
Tower 0 22 27 0 30 50 -210 3.8 3.8 40 0 0 0
Tower 0 23 2 0 34 -50 -210 3.8 3.8 40 0 0 0
Tower 0 23 3 0 34 -46 -210 3.8 3.8 40 0 0 0
Tower 0 23 4 0 34 -42 -210 3.8 3.8 40 0 0 0
Tower 0 23 25 0 34 42 -210 3.8 3.8 40 0 0 0
Tower 0 23 26 0 34 46 -210 3.8 3.8 40 0 0 0
Tower 0 23 27 0 34 50 -210 3.8 3.8 40 0 0 0
Tower 0 24 3 0 38 -46 -210 3.8 3.8 40 0 0 0
Tower 0 24 4 0 38 -42 -210 3.8 3.8 40 0 0 0
Tower 0 24 5 0 38 -38 -210 3.8 3.8 40 0 0 0
Tower 0 24 24 0 38 38 -210 3.8 3.8 40 0 0 0
