Gtype 1
Gr1_inner 84
Gr1_outer 132
Gr2_inner 84
Gr2_outer 132
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 0 27 0 -130 -22 -260 3.8 3.8 40 0 0 0
Tower 0 0 28 0 -130 -18 -260 3.8 3.8 40 0 0 0
Tower 0 0 29 0 -130 -14 -260 3.8 3.8 40 0 0 0
Tower 0 0 30 0 -130 -10 -260 3.8 3.8 40 0 0 0
Tower 0 0 31 0 -130 -6 -260 3.8 3.8 40 0 0 0
Tower 0 0 32 0 -130 -2 -260 3.8 3.8 40 0 0 0
Tower 0 0 33 0 -130 2 -260 3.8 3.8 40 0 0 0
Tower 0 0 34 0 -130 6 -260 3.8 3.8 40 0 0 0
Tower 0 0 35 0 -130 10 -260 3.8 3.8 40 0 0 0
Tower 0 0 36 0 -130 14 -260 3.8 3.8 40 0 0 0
Tower 0 0 37 0 -130 18 -260 3.8 3.8 40 0 0 0
Tower 0 0 38 0 -130 22 -260 3.8 3.8 40 0 0 0
Tower 0 1 23 0 -126 -38 -260 3.8 3.8 40 0 0 0
Tower 0 1 24 0 -126 -34 -260 3.8 3.8 40 0 0 0
Tower 0 1 25 0 -126 -30 -260 3.8 3.8 40 0 0 0
Tower 0 1 26 0 -126 -26 -260 3.8 3.8 40 0 0 0
Tower 0 1 27 0 -126 -22 -260 3.8 3.8 40 0 0 0
Tower 0 1 28 0 -126 -18 -260 3.8 3.8 40 0 0 0
Tower 0 1 29 0 -126 -14 -260 3.8 3.8 40 0 0 0
Tower 0 1 30 0 -126 -10 -260 3.8 3.8 40 0 0 0
Tower 0 1 31 0 -126 -6 -260 3.8 3.8 40 0 0 0
Tower 0 1 32 0 -126 -2 -260 3.8 3.8 40 0 0 0
Tower 0 1 33 0 -126 2 -260 3.8 3.8 40 0 0 0
Tower 0 1 34 0 -126 6 -260 3.8 3.8 40 0 0 0
Tower 0 1 35 0 -126 10 -260 3.8 3.8 40 0 0 0
Tower 0 1 36 0 -126 14 -260 3.8 3.8 40 0 0 0
Tower 0 1 37 0 -126 18 -260 3.8 3.8 40 0 0 0
Tower 0 1 38 0 -126 22 -260 3.8 3.8 40 0 0 0
Tower 0 1 39 0 -126 26 -260 3.8 3.8 40 0 0 0
