Gtype 1
Gr1_inner 8
Gr1_outer 61
Gr2_inner 8
Gr2_outer 61
Gdx 2.07336
Gdy 2.07336
Gdz 20.05
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 1.95
Gcrystal_dy 1.95
Gcrystal_dz 20
Gcarbon_gap 0.025
Greflective_foil_thickness 0.0066
Gtedlar_thickness 0.00508
carbon_frame_style 1
carbon_frame_depth 2.0
carbon_face_lip 0.1
Gair_gap 0
Gmaterial 0.5
Gcolor_R 0
Gcolor_G 0
Gcolor_B 1
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 0 20 0 -59 -19 -185 1.95 1.95 20 0 0 0
Tower 0 0 21 0 -59 -17 -185 1.95 1.95 20 0 0 0
Tower 0 1 20 0 -57 -19 -185 1.95 1.95 20 0 0 0
Tower 0 1 21 0 -57 -17 -185 1.95 1.95 20 0 0 0
Tower 0 0 22 0 -59 -15 -185 1.95 1.95 20 0 0 0
Tower 0 0 23 0 -59 -13 -185 1.95 1.95 20 0 0 0
Tower 0 1 22 0 -57 -15 -185 1.95 1.95 20 0 0 0
Tower 0 1 23 0 -57 -13 -185 1.95 1.95 20 0 0 0
Tower 0 0 24 0 -59 -11 -185 1.95 1.95 20 0 0 0
Tower 0 0 25 0 -59 -9 -185 1.95 1.95 20 0 0 0
Tower 0 1 24 0 -57 -11 -185 1.95 1.95 20 0 0 0
Tower 0 1 25 0 -57 -9 -185 1.95 1.95 20 0 0 0
Tower 0 0 26 0 -59 -7 -185 1.95 1.95 20 0 0 0
Tower 0 0 27 0 -59 -5 -185 1.95 1.95 20 0 0 0
Tower 0 1 26 0 -57 -7 -185 1.95 1.95 20 0 0 0
Tower 0 1 27 0 -57 -5 -185 1.95 1.95 20 0 0 0
Tower 0 0 28 0 -59 -3 -185 1.95 1.95 20 0 0 0
Tower 0 0 29 0 -59 -1 -185 1.95 1.95 20 0 0 0
Tower 0 1 28 0 -57 -3 -185 1.95 1.95 20 0 0 0
Tower 0 1 29 0 -57 -1 -185 1.95 1.95 20 0 0 0
Tower 0 0 30 0 -59 1 -185 1.95 1.95 20 0 0 0
Tower 0 0 31 0 -59 3 -185 1.95 1.95 20 0 0 0
Tower 0 1 30 0 -57 1 -185 1.95 1.95 20 0 0 0
Tower 0 1 31 0 -57 3 -185 1.95 1.95 20 0 0 0
Tower 0 0 32 0 -59 5 -185 1.95 1.95 20 0 0 0
Tower 0 0 33 0 -59 7 -185 1.95 1.95 20 0 0 0
Tower 0 1 32 0 -57 5 -185 1.95 1.95 20 0 0 0
Tower 0 1 33 0 -57 7 -185 1.95 1.95 20 0 0 0
Tower 0 0 34 0 -59 9 -185 1.95 1.95 20 0 0 0
Tower 0 0 35 0 -59 11 -185 1.95 1.95 20 0 0 0
Tower 0 1 34 0 -57 9 -185 1.95 1.95 20 0 0 0
Tower 0 1 35 0 -57 11 -185 1.95 1.95 20 0 0 0
Tower 0 0 36 0 -59 13 -185 1.95 1.95 20 0 0 0
Tower 0 0 37 0 -59 15 -185 1.95 1.95 20 0 0 0
Tower 0 1 36 0 -57 13 -185 1.95 1.95 20 0 0 0
Tower 0 1 37 0 -57 15 -185 1.95 1.95 20 0 0 0
Tower 0 0 38 0 -59 17 -185 1.95 1.95 20 0 0 0
Tower 0 0 39 0 -59 19 -185 1.95 1.95 20 0 0 0
Tower 0 1 38 0 -57 17 -185 1.95 1.95 20 0 0 0
Tower 0 1 39 0 -57 19 -185 1.95 1.95 20 0 0 0
Tower 0 2 16 0 -55 -27 -185 1.95 1.95 20 0 0 0
Tower 0 2 17 0 -55 -25 -185 1.95 1.95 20 0 0 0
Tower 0 3 16 0 -53 -27 -185 1.95 1.95 20 0 0 0
Tower 0 3 17 0 -53 -25 -185 1.95 1.95 20 0 0 0
Tower 0 2 18 0 -55 -23 -185 1.95 1.95 20 0 0 0
Tower 0 2 19 0 -55 -21 -185 1.95 1.95 20 0 0 0
Tower 0 3 18 0 -53 -23 -185 1.95 1.95 20 0 0 0
Tower 0 3 19 0 -53 -21 -185 1.95 1.95 20 0 0 0
Tower 0 2 20 0 -55 -19 -185 1.95 1.95 20 0 0 0
Tower 0 2 21 0 -55 -17 -185 1.95 1.95 20 0 0 0
Tower 0 3 20 0 -53 -19 -185 1.95 1.95 20 0 0 0
Tower 0 3 21 0 -53 -17 -185 1.95 1.95 20 0 0 0
Tower 0 2 22 0 -55 -15 -185 1.95 1.95 20 0 0 0
Tower 0 2 23 0 -55 -13 -185 1.95 1.95 20 0 0 0
Tower 0 3 22 0 -53 -15 -185 1.95 1.95 20 0 0 0
Tower 0 3 23 0 -53 -13 -185 1.95 1.95 20 0 0 0
Tower 0 2 24 0 -55 -11 -185 1.95 1.95 20 0 0 0
Tower 0 2 25 0 -55 -9 -185 1.95 1.95 20 0 0 0
Tower 0 3 24 0 -53 -11 -185 1.95 1.95 20 0 0 0
Tower 0 3 25 0 -53 -9 -185 1.95 1.95 20 0 0 0
Tower 0 2 26 0 -55 -7 -185 1.95 1.95 20 0 0 0
Tower 0 2 27 0 -55 -5 -185 1.95 1.95 20 0 0 0
Tower 0 3 26 0 -53 -7 -185 1.95 1.95 20 0 0 0
Tower 0 3 27 0 -53 -5 -185 1.95 1.95 20 0 0 0
Tower 0 2 28 0 -55 -3 -185 1.95 1.95 20 0 0 0
Tower 0 2 29 0 -55 -1 -185 1.95 1.95 20 0 0 0
Tower 0 3 28 0 -53 -3 -185 1.95 1.95 20 0 0 0
Tower 0 3 29 0 -53 -1 -185 1.95 1.95 20 0 0 0
Tower 0 2 30 0 -55 1 -185 1.95 1.95 20 0 0 0
Tower 0 2 31 0 -55 3 -185 1.95 1.95 20 0 0 0
Tower 0 3 30 0 -53 1 -185 1.95 1.95 20 0 0 0
Tower 0 3 31 0 -53 3 -185 1.95 1.95 20 0 0 0
Tower 0 2 32 0 -55 5 -185 1.95 1.95 20 0 0 0
Tower 0 2 33 0 -55 7 -185 1.95 1.95 20 0 0 0
Tower 0 3 32 0 -53 5 -185 1.95 1.95 20 0 0 0
Tower 0 3 33 0 -53 7 -185 1.95 1.95 20 0 0 0
Tower 0 2 34 0 -55 9 -185 1.95 1.95 20 0 0 0
Tower 0 2 35 0 -55 11 -185 1.95 1.95 20 0 0 0
Tower 0 3 34 0 -53 9 -185 1.95 1.95 20 0 0 0
Tower 0 3 35 0 -53 11 -185 1.95 1.95 20 0 0 0
Tower 0 2 36 0 -55 13 -185 1.95 1.95 20 0 0 0
Tower 0 2 37 0 -55 15 -185 1.95 1.95 20 0 0 0
Tower 0 3 36 0 -53 13 -185 1.95 1.95 20 0 0 0
Tower 0 3 37 0 -53 15 -185 1.95 1.95 20 0 0 0
Tower 0 2 38 0 -55 17 -185 1.95 1.95 20 0 0 0
Tower 0 2 39 0 -55 19 -185 1.95 1.95 20 0 0 0
Tower 0 3 38 0 -53 17 -185 1.95 1.95 20 0 0 0
Tower 0 3 39 0 -53 19 -185 1.95 1.95 20 0 0 0
Tower 0 2 40 0 -55 21 -185 1.95 1.95 20 0 0 0
Tower 0 2 41 0 -55 23 -185 1.95 1.95 20 0 0 0
Tower 0 3 40 0 -53 21 -185 1.95 1.95 20 0 0 0
Tower 0 3 41 0 -53 23 -185 1.95 1.95 20 0 0 0
Tower 0 2 42 0 -55 25 -185 1.95 1.95 20 0 0 0
Tower 0 2 43 0 -55 27 -185 1.95 1.95 20 0 0 0
Tower 0 3 42 0 -53 25 -185 1.95 1.95 20 0 0 0
Tower 0 3 43 0 -53 27 -185 1.95 1.95 20 0 0 0
Tower 0 4 12 0 -51 -35 -185 1.95 1.95 20 0 0 0
Tower 0 4 13 0 -51 -33 -185 1.95 1.95 20 0 0 0
Tower 0 5 12 0 -49 -35 -185 1.95 1.95 20 0 0 0
Tower 0 5 13 0 -49 -33 -185 1.95 1.95 20 0 0 0
Tower 0 4 14 0 -51 -31 -185 1.95 1.95 20 0 0 0
Tower 0 4 15 0 -51 -29 -185 1.95 1.95 20 0 0 0
Tower 0 5 14 0 -49 -31 -185 1.95 1.95 20 0 0 0
Tower 0 5 15 0 -49 -29 -185 1.95 1.95 20 0 0 0
Tower 0 4 16 0 -51 -27 -185 1.95 1.95 20 0 0 0
Tower 0 4 17 0 -51 -25 -185 1.95 1.95 20 0 0 0
Tower 0 5 16 0 -49 -27 -185 1.95 1.95 20 0 0 0
Tower 0 5 17 0 -49 -25 -185 1.95 1.95 20 0 0 0
Tower 0 4 18 0 -51 -23 -185 1.95 1.95 20 0 0 0
Tower 0 4 19 0 -51 -21 -185 1.95 1.95 20 0 0 0
Tower 0 5 18 0 -49 -23 -185 1.95 1.95 20 0 0 0
Tower 0 5 19 0 -49 -21 -185 1.95 1.95 20 0 0 0
Tower 0 4 20 0 -51 -19 -185 1.95 1.95 20 0 0 0
Tower 0 4 21 0 -51 -17 -185 1.95 1.95 20 0 0 0
Tower 0 5 20 0 -49 -19 -185 1.95 1.95 20 0 0 0
Tower 0 5 21 0 -49 -17 -185 1.95 1.95 20 0 0 0
Tower 0 4 22 0 -51 -15 -185 1.95 1.95 20 0 0 0
Tower 0 4 23 0 -51 -13 -185 1.95 1.95 20 0 0 0
Tower 0 5 22 0 -49 -15 -185 1.95 1.95 20 0 0 0
Tower 0 5 23 0 -49 -13 -185 1.95 1.95 20 0 0 0
Tower 0 4 24 0 -51 -11 -185 1.95 1.95 20 0 0 0
Tower 0 4 25 0 -51 -9 -185 1.95 1.95 20 0 0 0
Tower 0 5 24 0 -49 -11 -185 1.95 1.95 20 0 0 0
Tower 0 5 25 0 -49 -9 -185 1.95 1.95 20 0 0 0
Tower 0 4 26 0 -51 -7 -185 1.95 1.95 20 0 0 0
Tower 0 4 27 0 -51 -5 -185 1.95 1.95 20 0 0 0
Tower 0 5 26 0 -49 -7 -185 1.95 1.95 20 0 0 0
Tower 0 5 27 0 -49 -5 -185 1.95 1.95 20 0 0 0
Tower 0 4 28 0 -51 -3 -185 1.95 1.95 20 0 0 0
Tower 0 4 29 0 -51 -1 -185 1.95 1.95 20 0 0 0
Tower 0 5 28 0 -49 -3 -185 1.95 1.95 20 0 0 0
Tower 0 5 29 0 -49 -1 -185 1.95 1.95 20 0 0 0
